country,year,sex,age,suicides_no,population,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Saint Vincent and Grenadines,2011,male,15-24 years,1,10177,Saint Vincent and Grenadines2011,0.713,"676,129,407",6759,Millenials
Hungary,2006,female,5-14 years,1,517602,Hungary2006,,"115,295,199,392",12021,Millenials
Russian Federation,2008,female,25-34 years,981,11179123,Russian Federation2008,,"1,660,844,408,500",12359,Generation X
Poland,2007,male,75+ years,237,745405,Poland2007,,"429,063,549,984",11816,Silent
New Zealand,2011,female,5-14 years,3,283270,New Zealand2011,0.907,"168,461,998,741",41184,Generation Z
Colombia,2010,female,15-24 years,187,4154664,Colombia2010,0.706,"287,018,184,638",6836,Millenials
Barbados,2003,male,75+ years,0,5598,Barbados2003,,"3,274,850,000",12887,Silent
United Kingdom,1988,female,25-34 years,171,4162366,United Kingdom1988,,"910,122,732,124",17072,Boomers
Belgium,2000,female,15-24 years,38,612148,Belgium2000,0.874,"237,904,919,845",24592,Generation X
United States,2004,female,35-54 years,3399,43240905,United States2004,,"12,274,928,000,000",44867,Boomers
Sri Lanka,2006,female,25-34 years,194,1594072,Sri Lanka2006,,"28,267,410,543",1580,Generation X
Barbados,2000,female,75+ years,0,8653,Barbados2000,0.753,"3,121,500,000",12430,G.I. Generation
Barbados,1991,female,75+ years,0,9000,Barbados1991,,"2,007,109,829",8469,G.I. Generation
Hungary,2016,male,75+ years,214,246437,Hungary2016,,"125,816,640,421",13448,Silent
Fiji,2004,male,15-24 years,3,81425,Fiji2004,,"2,727,507,213",3744,Millenials
Lithuania,2004,male,15-24 years,115,254022,Lithuania2004,,"22,649,930,576",7028,Millenials
Singapore,1995,male,75+ years,32,28200,Singapore1995,0.773,"87,890,009,877",31783,G.I. Generation
United Kingdom,1994,male,75+ years,218,1349491,United Kingdom1994,,"1,140,489,745,944",20927,G.I. Generation
Thailand,2006,male,75+ years,87,801587,Thailand2006,,"221,758,486,880",3598,Silent
Brazil,1992,female,55-74 years,166,6848963,Brazil1992,,"400,599,250,000",2924,Silent
Montenegro,2006,male,75+ years,0,10925,Montenegro2006,,"2,721,904,403",4654,Silent
Luxembourg,2013,female,75+ years,2,22111,Luxembourg2013,0.89,"61,739,352,212",120423,Silent
Ecuador,2009,male,5-14 years,23,1533769,Ecuador2009,,"62,519,686,000",4762,Generation Z
Panama,2007,male,55-74 years,22,169617,Panama2007,,"21,295,984,200",6876,Silent
Mexico,1998,female,15-24 years,227,10340767,Mexico1998,,"526,502,129,378",6064,Generation X
Ecuador,2013,female,5-14 years,20,1490382,Ecuador2013,0.73,"95,129,659,000",6769,Generation Z
Malta,1999,female,5-14 years,0,26500,Malta1999,,"4,127,313,818",11607,Millenials
Australia,2001,male,55-74 years,296,1566014,Australia2001,,"378,215,090,694",20860,Silent
Italy,1992,male,25-34 years,486,4431281,Italy1992,,"1,315,806,985,860",24297,Boomers
South Africa,2015,female,55-74 years,10,3155486,South Africa2015,,"317,741,039,198",6403,Boomers
Serbia,2015,female,25-34 years,21,461733,Serbia2015,,"37,160,332,465",5492,Millenials
Czech Republic,1997,female,75+ years,61,340800,Czech Republic1997,,"61,792,161,168",6314,G.I. Generation
Sweden,2007,female,15-24 years,35,573531,Sweden2007,,"487,816,328,342",56531,Millenials
Chile,2002,female,25-34 years,46,1236130,Chile2002,,"69,736,811,435",4866,Generation X
South Africa,2002,female,15-24 years,26,4851340,South Africa2002,,"115,748,110,113",2769,Millenials
Mauritius,2008,male,55-74 years,17,75302,Mauritius2008,,"9,990,370,016",8716,Silent
Finland,2008,female,55-74 years,68,637681,Finland2008,,"283,742,493,042",56521,Silent
Hungary,1991,female,25-34 years,85,652494,Hungary1991,,"34,748,508,332",3561,Boomers
Fiji,2003,female,15-24 years,1,78498,Fiji2003,,"2,315,935,753",3192,Millenials
Slovenia,2008,male,55-74 years,96,206257,Slovenia2008,,"55,589,849,128",28599,Silent
Panama,2005,male,35-54 years,42,379629,Panama2005,0.733,"16,374,393,900",5499,Boomers
Philippines,1998,male,25-34 years,198,5737075,Philippines1998,,"72,207,028,767",1124,Generation X
New Zealand,2004,female,75+ years,4,135340,New Zealand2004,,"103,904,537,815",27325,Silent
Seychelles,2004,female,35-54 years,0,11572,Seychelles2004,,"839,319,927",10526,Boomers
Spain,2003,female,25-34 years,93,3492577,Spain2003,,"906,853,273,138",22701,Generation X
Aruba,2001,male,55-74 years,0,5846,Aruba2001,,"1,920,262,570",22317,Silent
Estonia,2001,male,75+ years,12,19975,Estonia2001,,"6,245,069,734",4711,Silent
Belize,2006,male,5-14 years,1,37049,Belize2006,,"1,217,467,600",4815,Millenials
Bahamas,2010,male,5-14 years,0,27620,Bahamas2010,0.774,"10,095,760,000",30239,Generation Z
Italy,1986,female,25-34 years,97,4009600,Italy1986,,"638,273,986,102",11762,Boomers
Bahamas,2008,female,75+ years,0,5272,Bahamas2008,,"10,526,000,000",32746,Silent
Barbados,2013,male,55-74 years,0,25209,Barbados2013,0.785,"4,612,500,000",17395,Boomers
Poland,1999,male,35-54 years,2319,5603400,Poland1999,,"169,717,677,901",4640,Boomers
Bulgaria,2008,male,5-14 years,1,342263,Bulgaria2008,,"54,409,138,498",7487,Generation Z
Romania,1989,male,15-24 years,197,1907000,Romania1989,,"42,105,263,158",1973,Generation X
Malta,2008,male,75+ years,1,9566,Malta2008,,"8,977,149,553",23007,Silent
Sweden,2002,female,15-24 years,23,508851,Sweden2002,,"263,926,220,333",31175,Millenials
Austria,2011,female,15-24 years,23,498172,Austria2011,0.881,"431,120,310,089",53923,Millenials
Philippines,2011,female,25-34 years,120,7181904,Philippines2011,0.653,"224,143,083,707",2662,Millenials
Luxembourg,2002,female,35-54 years,10,67029,Luxembourg2002,,"23,616,328,816",56484,Boomers
Italy,1992,female,25-34 years,111,4384585,Italy1992,,"1,315,806,985,860",24297,Boomers
New Zealand,2011,male,5-14 years,3,296860,New Zealand2011,0.907,"168,461,998,741",41184,Generation Z
Uruguay,2000,male,55-74 years,141,247499,Uruguay2000,0.742,"22,823,255,802",7483,Silent
Ukraine,2009,male,75+ years,532,802009,Ukraine2009,,"117,227,769,792",2691,Silent
Seychelles,2013,female,35-54 years,0,14010,Seychelles2013,0.767,"1,328,091,524",16090,Generation X
Cyprus,2015,female,75+ years,0,29924,Cyprus2015,,"19,676,167,240",24718,Silent
Jamaica,1987,female,75+ years,0,41941,Jamaica1987,,"3,286,987,552",1587,G.I. Generation
Aruba,1999,male,5-14 years,0,6923,Aruba1999,,"1,722,798,883",21027,Millenials
Jamaica,1990,male,35-54 years,1,193270,Jamaica1990,0.671,"4,592,224,067",2155,Silent
Argentina,2003,male,75+ years,272,581842,Argentina2003,,"127,586,973,492",3668,Silent
Kyrgyzstan,1999,female,25-34 years,18,368000,Kyrgyzstan1999,,"1,249,062,025",291,Generation X
Norway,1991,female,5-14 years,1,253800,Norway1991,,"121,872,464,483",30678,Millenials
Romania,2011,female,25-34 years,30,1635487,Romania2011,0.786,"184,367,381,749",9086,Millenials
Hungary,1992,male,15-24 years,202,804971,Hungary1992,,"38,724,945,368",3970,Generation X
Bulgaria,1986,male,5-14 years,12,667500,Bulgaria1986,,"20,249,294,118",2413,Generation X
Uruguay,1999,female,75+ years,8,113267,Uruguay1999,,"23,983,945,191",7903,G.I. Generation
Luxembourg,1989,male,15-24 years,6,26300,Luxembourg1989,,"10,391,504,709",29239,Generation X
Bulgaria,2009,female,15-24 years,9,463505,Bulgaria2009,,"51,884,481,410",7186,Millenials
Puerto Rico,2009,female,5-14 years,0,260415,Puerto Rico2009,,"96,385,638,000",27661,Generation Z
Singapore,1986,male,15-24 years,31,260000,Singapore1986,,"18,569,292,305",7805,Generation X
Slovenia,2011,female,25-34 years,7,142978,Slovenia2011,0.877,"51,290,792,018",26377,Millenials
Greece,1992,female,55-74 years,28,1130657,Greece1992,,"116,224,673,043",11818,Silent
Fiji,2009,male,55-74 years,3,43403,Fiji2009,,"2,870,624,636",3765,Silent
Republic of Korea,2012,female,35-54 years,1539,8431939,Republic of Korea2012,,"1,222,807,284,485",25464,Generation X
New Zealand,2005,male,55-74 years,58,335140,New Zealand2005,0.895,"114,718,721,397",29803,Silent
Kazakhstan,2000,male,75+ years,47,77972,Kazakhstan2000,0.679,"18,291,990,619",1328,G.I. Generation
France,1986,female,25-34 years,424,4218000,France1986,,"771,470,783,218",14940,Boomers
Belgium,1986,male,75+ years,211,215400,Belgium1986,,"120,661,220,336",12992,G.I. Generation
Qatar,2004,female,25-34 years,1,55188,Qatar2004,,"31,734,065,934",45517,Generation X
Romania,1991,male,75+ years,110,366900,Romania1991,,"28,998,684,211",1351,G.I. Generation
Azerbaijan,1992,female,55-74 years,11,424500,Azerbaijan1992,,"4,991,350,458",784,Silent
Malta,2003,female,55-74 years,1,40926,Malta2003,,"5,456,583,589",14444,Silent
Trinidad and Tobago,1988,male,55-74 years,20,53500,Trinidad and Tobago1988,,"4,496,852,073",4104,G.I. Generation
Brazil,2006,male,55-74 years,1112,9247477,Brazil2006,,"1,107,640,297,890",6403,Silent
Costa Rica,1996,female,5-14 years,1,385069,Costa Rica1996,,"11,618,286,553",3639,Millenials
Kuwait,1999,female,25-34 years,7,182700,Kuwait1999,,"30,121,879,435",15864,Generation X
Netherlands,2006,female,15-24 years,34,963837,Netherlands2006,,"726,649,102,998",47281,Millenials
Argentina,2004,female,55-74 years,136,2895423,Argentina2004,,"164,657,930,453",4683,Silent
Lithuania,1997,male,25-34 years,231,272292,Lithuania1997,,"10,120,274,493",3008,Generation X
Saint Lucia,1993,male,15-24 years,0,13501,Saint Lucia1993,,"574,870,405",4568,Generation X
Slovakia,2010,female,15-24 years,7,378865,Slovakia2010,0.827,"89,501,012,916",17387,Millenials
Estonia,1995,male,55-74 years,119,117994,Estonia1995,0.719,"4,373,665,146",3224,Silent
Serbia,2000,female,5-14 years,4,424811,Serbia2000,0.71,"6,540,247,190",915,Millenials
Romania,2016,female,75+ years,61,997868,Romania2016,,"187,805,922,349",10020,Silent
Ireland,1994,female,5-14 years,0,310200,Ireland1994,,"57,166,037,102",17188,Millenials
Philippines,1997,male,5-14 years,10,9402618,Philippines1997,,"82,344,260,571",1312,Millenials
Lithuania,2003,female,15-24 years,11,247710,Lithuania2003,,"18,802,576,988",5778,Millenials
Georgia,1995,female,25-34 years,2,369450,Georgia1995,,"2,693,731,866",611,Generation X
Saint Lucia,2011,female,55-74 years,0,11141,Saint Lucia2011,0.73,"1,437,684,815",8826,Boomers
United States,2010,female,75+ years,403,11163521,United States2010,0.909,"14,964,372,000,000",51989,Silent
United Arab Emirates,2008,male,25-34 years,25,1856262,United Arab Emirates2008,,"315,474,615,739",48457,Generation X
Japan,2002,female,35-54 years,2187,17125000,Japan2002,,"4,115,116,279,070",34239,Boomers
Barbados,2002,male,55-74 years,0,17104,Barbados2002,,"3,169,600,000",12511,Silent
Qatar,1995,male,25-34 years,0,88331,Qatar1995,0.783,"8,137,911,978",17559,Generation X
Suriname,1997,female,55-74 years,1,22554,Suriname1997,,"929,607,500",2314,Silent
Czech Republic,2000,male,55-74 years,294,875298,Czech Republic2000,0.821,"61,649,492,817",6278,Silent
Cuba,1999,female,15-24 years,64,747370,Cuba1999,,"28,364,615,242",2741,Generation X
Belarus,1999,male,15-24 years,288,771500,Belarus1999,,"12,138,486,532",1269,Generation X
Puerto Rico,1986,male,35-54 years,94,342800,Puerto Rico1986,,"22,009,300,000",7002,Silent
Spain,1991,female,55-74 years,299,4013100,Spain1991,,"575,598,537,070",15574,Silent
Estonia,2008,female,25-34 years,4,91600,Estonia2008,,"24,194,039,256",19141,Generation X
Mauritius,2001,male,15-24 years,8,102151,Mauritius2001,,"4,536,538,211",4244,Millenials
Grenada,2015,female,15-24 years,0,9880,Grenada2015,,"997,007,926",10290,Millenials
Kuwait,1999,female,5-14 years,0,172800,Kuwait1999,,"30,121,879,435",15864,Millenials
Seychelles,2010,male,55-74 years,0,4827,Seychelles2010,0.743,"969,936,525",11563,Silent
Guatemala,2010,female,25-34 years,21,1148170,Guatemala2010,0.611,"41,338,595,381",3260,Generation X
Israel,2000,male,55-74 years,36,348176,Israel2000,0.85,"132,339,311,284",23451,Silent
Netherlands,1997,female,55-74 years,136,1399300,Netherlands1997,,"412,199,006,099",28156,Silent
Guyana,2006,male,35-54 years,50,85783,Guyana2006,,"1,458,449,453",2182,Boomers
Uruguay,2014,male,15-24 years,78,264979,Uruguay2014,0.793,"57,236,013,086",18012,Millenials
Puerto Rico,1998,male,5-14 years,3,312182,Puerto Rico1998,,"54,086,400,000",15610,Millenials
Denmark,2012,female,15-24 years,8,346154,Denmark2012,0.921,"327,148,899,962",62071,Millenials
Mauritius,2006,female,75+ years,3,19672,Mauritius2006,,"7,028,803,366",6246,Silent
Kuwait,2010,male,25-34 years,13,619392,Kuwait2010,0.809,"115,419,050,942",35171,Generation X
Puerto Rico,1997,female,75+ years,0,99121,Puerto Rico1997,,"48,187,039,000",14037,G.I. Generation
Singapore,2009,female,75+ years,18,75900,Singapore2009,,"192,408,387,762",54413,Silent
Greece,1990,female,5-14 years,0,689000,Greece1990,0.759,"97,891,090,929",10179,Generation X
Australia,1989,female,25-34 years,87,1383800,Australia1989,,"299,317,645,143",19223,Boomers
Bulgaria,2012,male,15-24 years,45,418715,Bulgaria2012,0.778,"53,903,022,339",7745,Millenials
Italy,2009,female,5-14 years,2,2725983,Italy2009,,"2,185,160,183,384",38101,Generation Z
Malta,2001,male,55-74 years,7,32328,Malta2001,,"4,331,870,648",11691,Silent
Ecuador,2013,female,35-54 years,32,1795728,Ecuador2013,0.73,"95,129,659,000",6769,Generation X
Ireland,2008,male,5-14 years,3,298953,Ireland2008,,"275,020,023,436",67173,Generation Z
Puerto Rico,1988,male,25-34 years,60,248400,Puerto Rico1988,,"26,385,800,000",8155,Boomers
Singapore,1985,male,75+ years,23,15900,Singapore1985,,"19,138,296,376",8142,G.I. Generation
Saint Lucia,1987,male,35-54 years,2,8700,Saint Lucia1987,,"319,998,987",2875,Silent
Trinidad and Tobago,2002,female,15-24 years,7,130404,Trinidad and Tobago2002,,"9,008,273,721",7578,Millenials
Colombia,1998,female,15-24 years,247,3789996,Colombia1998,,"98,443,739,941",2814,Generation X
Hungary,2001,male,35-54 years,1038,1388219,Hungary2001,,"53,821,315,066",5546,Boomers
Canada,2011,male,15-24 years,364,2356694,Canada2011,0.909,"1,788,647,906,048",54841,Millenials
Saint Lucia,2000,female,55-74 years,1,7546,Saint Lucia2000,0.683,"784,159,229",5557,Silent
Cuba,1993,female,55-74 years,262,685000,Cuba1993,,"22,367,254,865",2236,Silent
Luxembourg,2004,male,75+ years,6,9641,Luxembourg2004,,"34,685,281,848",80639,Silent
Chile,2003,male,5-14 years,20,1409825,Chile2003,,"75,643,459,840",5208,Millenials
Argentina,2000,male,75+ years,232,525161,Argentina2000,0.762,"284,203,750,000",8462,G.I. Generation
Panama,2006,female,15-24 years,7,298651,Panama2006,,"18,141,666,300",5972,Millenials
Spain,1988,female,55-74 years,324,3864700,Spain1988,,"375,138,723,325",10250,G.I. Generation
Czech Republic,2007,female,5-14 years,0,472986,Czech Republic2007,,"189,227,050,760",19273,Generation Z
Switzerland,2006,male,35-54 years,277,1160789,Switzerland2006,,"430,921,192,375",60536,Boomers
Uzbekistan,2004,female,55-74 years,18,880059,Uzbekistan2004,,"12,030,023,548",516,Silent
Romania,2014,female,55-74 years,138,2470673,Romania2014,0.793,"199,493,490,983",10526,Boomers
Bahrain,2000,male,5-14 years,0,65512,Bahrain2000,0.794,"9,062,906,915",15345,Millenials
Austria,2009,male,15-24 years,72,519901,Austria2009,,"400,172,297,861",50356,Millenials
Thailand,2015,female,25-34 years,96,4783703,Thailand2015,,"401,399,422,443",6552,Millenials
Argentina,2015,male,25-34 years,465,3289927,Argentina2015,,"594,749,285,413",14981,Millenials
Sweden,1993,male,55-74 years,235,790900,Sweden1993,,"209,950,792,713",25880,Silent
Bahamas,2001,female,25-34 years,0,25447,Bahamas2001,,"8,317,830,000",30122,Generation X
France,1992,female,5-14 years,3,3579300,France1992,,"1,401,465,923,172",26136,Millenials
Australia,2013,female,75+ years,48,847577,Australia2013,0.933,"1,573,696,522,007",72856,Silent
Germany,2012,male,5-14 years,11,3782823,Germany2012,0.915,"3,543,983,909,148",45142,Generation Z
Romania,2006,male,55-74 years,643,1905129,Romania2006,,"123,533,036,668",6018,Silent
Slovenia,1999,female,55-74 years,54,218200,Slovenia1999,,"22,689,994,990",12041,Silent
Germany,2007,male,35-54 years,2539,13116847,Germany2007,,"3,439,953,462,907",43667,Boomers
Saint Lucia,2009,female,35-54 years,0,23037,Saint Lucia2009,,"1,262,973,407",7902,Boomers
Switzerland,2010,female,5-14 years,0,386816,Switzerland2010,0.924,"583,782,977,866",78474,Generation Z
Qatar,2004,male,5-14 years,0,54893,Qatar2004,,"31,734,065,934",45517,Millenials
Brazil,1990,female,5-14 years,32,17265236,Brazil1990,0.608,"461,951,782,000",3516,Generation X
Netherlands,1985,female,75+ years,51,474300,Netherlands1985,0.799,"142,009,922,306",10428,G.I. Generation
Puerto Rico,1996,male,15-24 years,35,317510,Puerto Rico1996,,"45,340,835,000",13328,Generation X
Japan,1987,male,15-24 years,1065,9167000,Japan1987,,"2,532,808,573,157",22137,Generation X
Canada,1987,male,15-24 years,532,2085000,Canada1987,,"431,316,742,081",18124,Generation X
Netherlands,2008,female,25-34 years,41,1001975,Netherlands2008,,"936,228,211,513",60375,Generation X
Chile,2012,male,75+ years,101,258082,Chile2012,0.827,"267,122,320,057",16617,Silent
Mauritius,1989,male,5-14 years,0,109500,Mauritius1989,,"2,191,096,860",2349,Generation X
Grenada,1985,female,15-24 years,0,11725,Grenada1985,,"167,728,444",1965,Generation X
Poland,1992,female,75+ years,83,996400,Poland1992,,"94,337,050,693",2650,G.I. Generation
Bulgaria,2002,female,25-34 years,21,557945,Bulgaria2002,,"16,276,456,428",2157,Generation X
Brazil,2002,male,15-24 years,1226,17863758,Brazil2002,,"507,962,487,700",3121,Millenials
Singapore,2010,female,55-74 years,28,329000,Singapore2010,0.897,"236,421,782,178",66099,Silent
Japan,1994,male,75+ years,1364,2476000,Japan1994,,"4,907,039,384,470",41563,G.I. Generation
Seychelles,2012,female,75+ years,0,2014,Seychelles2012,0.761,"1,059,498,884",13044,Silent
Puerto Rico,2008,male,75+ years,22,85490,Puerto Rico2008,,"93,639,316,000",26840,Silent
Italy,2002,female,75+ years,180,3107879,Italy2002,,"1,266,510,634,293",23227,Silent
Chile,1987,female,75+ years,0,151300,Chile1987,,"22,255,407,685",1985,G.I. Generation
Austria,2002,male,75+ years,187,187295,Austria2002,,"213,377,771,504",27772,Silent
Ireland,2006,male,75+ years,11,79660,Ireland2006,,"232,085,535,065",58941,Silent
Italy,1998,female,35-54 years,298,7764523,Italy1998,,"1,266,309,245,009",23342,Boomers
New Zealand,1996,female,75+ years,5,112700,New Zealand1996,,"70,140,835,299",20434,G.I. Generation
Japan,1995,male,15-24 years,1050,9332000,Japan1995,0.838,"5,449,116,304,981",46043,Generation X
Canada,1989,female,25-34 years,174,2371500,Canada1989,,"565,055,743,243",23188,Boomers
Uruguay,2005,female,15-24 years,17,244651,Uruguay2005,0.756,"17,362,857,684",5655,Millenials
Jamaica,1990,female,55-74 years,0,122353,Jamaica1990,0.671,"4,592,224,067",2155,G.I. Generation
Cuba,2004,female,15-24 years,23,762761,Cuba2004,,"38,203,000,000",3611,Millenials
Belgium,1998,male,15-24 years,136,636467,Belgium1998,,"260,601,911,536",27087,Generation X
Slovakia,2000,female,35-54 years,64,775726,Slovakia2000,0.763,"29,114,875,622",5696,Boomers
Thailand,1986,male,15-24 years,555,5782196,Thailand1986,,"43,096,746,122",911,Generation X
Uzbekistan,2012,male,75+ years,15,213713,Uzbekistan2012,0.668,"51,821,573,338",1964,Silent
El Salvador,1990,male,35-54 years,81,427335,El Salvador1990,0.522,"4,817,542,204",1068,Silent
Estonia,2013,female,55-74 years,12,172334,Estonia2013,0.859,"25,137,153,149",20221,Boomers
Ecuador,2008,male,55-74 years,81,654092,Ecuador2008,,"61,762,635,000",4787,Silent
Greece,2009,male,15-24 years,17,626013,Greece2009,,"330,000,252,153",30785,Millenials
Australia,2001,female,75+ years,39,677113,Australia2001,,"378,215,090,694",20860,Silent
Mexico,2014,female,55-74 years,91,6743397,Mexico2014,0.756,"1,314,385,330,073",11663,Boomers
Thailand,2003,male,15-24 years,579,5371988,Thailand2003,,"152,280,653,544",2531,Millenials
Ecuador,2008,male,75+ years,31,150423,Ecuador2008,,"61,762,635,000",4787,Silent
Jamaica,1990,female,35-54 years,0,200357,Jamaica1990,0.671,"4,592,224,067",2155,Silent
Brazil,1988,female,75+ years,52,1057285,Brazil1988,,"330,397,381,998",2628,G.I. Generation
Croatia,2002,male,25-34 years,82,297500,Croatia2002,,"26,878,499,206",6373,Generation X
Puerto Rico,2002,female,35-54 years,14,521365,Puerto Rico2002,,"71,623,500,000",20325,Boomers
Switzerland,1999,male,25-34 years,133,544276,Switzerland1999,,"289,912,492,345",42859,Generation X
Georgia,1997,female,55-74 years,12,455100,Georgia1997,,"3,510,540,809",828,Silent
South Africa,2013,male,75+ years,5,278931,South Africa2013,0.663,"366,829,390,479",7612,Silent
Iceland,1986,female,25-34 years,1,19600,Iceland1986,,"3,930,518,366",17681,Boomers
Bahrain,2000,male,25-34 years,16,86231,Bahrain2000,0.794,"9,062,906,915",15345,Generation X
Saint Lucia,1995,male,75+ years,0,2137,Saint Lucia1995,,"640,449,501",4947,G.I. Generation
Croatia,2007,male,35-54 years,198,637678,Croatia2007,,"60,093,222,709",14204,Boomers
Bulgaria,1994,male,5-14 years,9,566000,Bulgaria1994,,"9,697,416,974",1213,Millenials
Republic of Korea,1999,female,35-54 years,683,6497300,Republic of Korea1999,,"485,248,229,337",11074,Boomers
Austria,1990,female,25-34 years,53,626994,Austria1990,0.794,"166,463,386,663",23020,Boomers
Barbados,2004,female,5-14 years,0,19280,Barbados2004,,"3,514,350,000",13786,Millenials
Poland,2007,female,15-24 years,73,2937109,Poland2007,,"429,063,549,984",11816,Millenials
Portugal,1989,female,5-14 years,3,748772,Portugal1989,,"60,600,056,659",6436,Generation X
Turkmenistan,1992,male,25-34 years,49,305500,Turkmenistan1992,,"3,200,539,816",984,Boomers
Kyrgyzstan,2012,female,5-14 years,3,511854,Kyrgyzstan2012,0.645,"6,605,139,933",1339,Generation Z
Australia,2003,male,15-24 years,243,1394989,Australia2003,,"466,294,700,058",25059,Millenials
Belarus,2013,male,55-74 years,376,786132,Belarus2013,0.796,"75,527,984,234",8477,Boomers
Belgium,1988,male,75+ years,181,217000,Belgium1988,,"163,167,853,538",17509,G.I. Generation
United States,2015,male,75+ years,3171,8171136,United States2015,,"18,120,714,000,000",60387,Silent
Guatemala,2015,male,25-34 years,86,1267501,Guatemala2015,,"63,767,597,194",4472,Millenials
Austria,1985,female,55-74 years,220,842978,Austria1985,0.764,"69,386,774,475",9759,G.I. Generation
Japan,2014,female,55-74 years,2512,17288000,Japan2014,0.891,"4,850,413,536,038",40328,Boomers
Lithuania,2000,male,5-14 years,6,262637,Lithuania2000,0.754,"11,539,211,480",3481,Millenials
Belgium,2014,female,15-24 years,27,653625,Belgium2014,0.89,"530,770,977,634",50173,Millenials
Belarus,2008,male,75+ years,131,159724,Belarus2008,,"60,763,483,146",6601,Silent
Hungary,2007,female,75+ years,132,478370,Hungary2007,,"139,850,794,387",14609,Silent
Czech Republic,1998,female,75+ years,65,354800,Czech Republic1998,,"66,490,372,105",6779,G.I. Generation
Uruguay,1996,female,75+ years,12,104408,Uruguay1996,,"20,515,543,039",6914,G.I. Generation
Saint Lucia,2002,female,55-74 years,1,7756,Saint Lucia2002,,"748,346,606",5155,Silent
Singapore,1985,female,15-24 years,25,253400,Singapore1985,,"19,138,296,376",8142,Generation X
Hungary,2014,male,55-74 years,600,1063532,Hungary2014,0.828,"140,118,140,455",14886,Boomers
Finland,1991,female,15-24 years,23,315400,Finland1991,,"127,866,490,222",27214,Generation X
United States,1985,female,75+ years,466,7469000,United States1985,0.841,"4,346,734,000,000",19693,G.I. Generation
Albania,1999,female,15-24 years,19,296800,Albania1999,,"3,414,760,915",1127,Generation X
Colombia,2011,female,75+ years,4,618521,Colombia2011,0.713,"335,415,156,702",7885,Silent
Republic of Korea,1987,female,55-74 years,152,2113500,Republic of Korea1987,,"146,133,338,196",3834,G.I. Generation
Japan,2007,female,35-54 years,2303,16325000,Japan2007,,"4,515,264,514,431",37408,Boomers
Luxembourg,1988,male,55-74 years,14,31700,Luxembourg1988,,"9,750,161,053",27676,G.I. Generation
Brazil,2008,male,25-34 years,1706,16430646,Brazil2008,,"1,695,824,571,927",9555,Generation X
Czech Republic,1994,female,75+ years,104,314000,Czech Republic1994,,"47,554,674,591",4891,G.I. Generation
Puerto Rico,2004,female,35-54 years,8,518614,Puerto Rico2004,,"80,322,313,000",22874,Boomers
Argentina,2004,female,5-14 years,25,3416244,Argentina2004,,"164,657,930,453",4683,Millenials
Ukraine,1999,male,25-34 years,1800,3434800,Ukraine1999,,"31,580,639,045",666,Generation X
Suriname,1998,female,75+ years,0,4529,Suriname1998,,"945,000,000",2318,G.I. Generation
Uruguay,1995,male,15-24 years,43,270288,Uruguay1995,0.711,"19,297,663,097",6555,Generation X
Netherlands,2010,male,75+ years,82,440573,Netherlands2010,0.909,"836,389,937,229",53302,Silent
Hungary,2000,male,35-54 years,1090,1373290,Hungary2000,0.769,"47,310,623,887",4966,Boomers
Ecuador,1992,male,35-54 years,69,945954,Ecuador1992,,"18,094,238,119",1955,Boomers
Greece,2014,male,5-14 years,1,551030,Greece2014,0.865,"237,029,579,261",22834,Generation Z
Uruguay,1987,male,35-54 years,59,341200,Uruguay1987,,"7,367,494,080",2651,Silent
Bahamas,1997,male,75+ years,0,1847,Bahamas1997,,"6,332,360,000",24740,G.I. Generation
Switzerland,2012,female,25-34 years,29,536457,Switzerland2012,0.927,"668,043,614,123",87951,Millenials
Grenada,2003,female,25-34 years,0,6685,Grenada2003,,"591,018,407",6385,Generation X
Mexico,1998,male,5-14 years,87,11488804,Mexico1998,,"526,502,129,378",6064,Millenials
Argentina,2003,male,5-14 years,37,3531507,Argentina2003,,"127,586,973,492",3668,Millenials
Singapore,1997,female,55-74 years,18,186200,Singapore1997,,"100,163,995,151",34779,Silent
Italy,2002,female,35-54 years,277,8243211,Italy2002,,"1,266,510,634,293",23227,Boomers
Hungary,1993,female,15-24 years,43,778205,Hungary1993,,"40,119,073,326",4116,Generation X
United Kingdom,1990,female,15-24 years,85,4138638,United Kingdom1990,0.773,"1,093,169,389,205",20411,Generation X
Uruguay,2012,female,25-34 years,16,232940,Uruguay2012,0.788,"51,264,390,116",16264,Millenials
Kiribati,1999,male,5-14 years,0,11126,Kiribati1999,,"69,032,258",973,Millenials
Ireland,2005,male,35-54 years,134,552960,Ireland2005,0.895,"211,650,764,830",55213,Boomers
Colombia,1996,female,5-14 years,17,4185267,Colombia1996,,"97,160,109,278",2883,Millenials
Austria,2012,female,55-74 years,99,962372,Austria2012,0.884,"409,425,234,155",50979,Boomers
United Arab Emirates,2005,female,35-54 years,3,286724,United Arab Emirates2005,0.822,"180,617,018,380",42196,Boomers
Argentina,2002,male,55-74 years,615,2387478,Argentina2002,,"97,724,004,252",2840,Silent
Greece,1995,female,55-74 years,26,1178828,Greece1995,0.772,"136,878,366,230",13550,Silent
Cuba,2014,male,25-34 years,97,758006,Cuba2014,0.769,"80,656,100,000",7459,Millenials
Bahrain,1997,female,35-54 years,0,53562,Bahrain1997,,"6,349,202,394",11985,Boomers
Mauritius,2009,female,55-74 years,4,93824,Mauritius2009,,"9,128,843,109",7873,Silent
